Date,Hinckley Reservoir Elevation,Hinckley Reservoir Comparison to Elevation Trigger1,Hinckley Reservoir Comparison to Normal Elevation2,Hinckley Reservoir Discharge,1920 Operating Diagram Release4,Hinckley Reservoir Inflow,Hinckley Reservoir 30-Day Running Average Inflow5,Wilmurt Streamgage Flow,Mohawk Valley Water Authority Withdrawal,Delta Reservoir Elevation,Delta Reservoir Discharge,Nine Mile Feeder Discharge
,(ft),(ft),(ft),(cfs)3,(cfs),(cfs),(cfs),(cfs),(cfs),(ft),(cfs),(cfs)
9/19/2012,1203.7,1.1,-6.9,270,400,771,143,673,30,542.5,175,40
9/18/2012,1203.1,0.3,-7.5,269,400,297,124,102,32.2,542.3,175,40
9/17/2012,1203.1,0.2,-7.6,270,400,-16,122,66,31.9,542.4,172,40
9/16/2012,1203.5,0.4,-7.2,271,400,141,130,72,33,,,
9/15/2012,1203.7,0.4,-7.1,272,400,-19,139,,34.2,,,
9/14/2012,1204,0.5,-6.9,273,400,140,154,76,34.4,542.7,175,40
9/13/2012,1204.2,0.6,-6.7,274,400,140,164,84,29.7,542.9,172,40
9/12/2012,1204.4,0.6,-6.5,275,400,141,167,97,32.4,543,170,40
9/11/2012,1204.6,0.6,-6.5,276,400,126,171,119,32.8,543,172,40
9/10/2012,1204.8,0.6,-6.5,269,400,297,181,159,30.2,543.2,172,40
9/9/2012,1204.8,0.4,-6.7,264,400,292,179,241,31.2,,,
9/8/2012,1204.8,0.3,-7,264,400,128,184,,33.4,,,
9/7/2012,1205,0.2,-7,265,400,128,182,88,32.3,543.5,172,40
9/6/2012,1205.1,0.2,-7.1,266,400,129,186,106,31.4,543.6,172,40
9/5/2012,1205.3,0.2,-7.1,266,400,128,191,97,33.1,543.7,172,40
9/4/2012,1205.5,0.3,-7.1,267,400,-40,193,58,32,543.7,172,40
9/3/2012,1205.9,0.5,-6.8,268,400,128,202,57,30.8,,,
9/2/2012,1206,0.4,-6.9,269,400,-42,199,61,32.6,,,
9/1/2012,1206.4,0.6,-6.6,270,400,128,202,,34.2,,,
8/31/2012,1206.6,0.7,-6.4,271,400,130,199,73,33.7,544.3,175,40
8/30/2012,1206.8,0.7,-6.3,272,400,134,202,85,29.6,,,
8/29/2012,1207,0.7,-6.2,273,400,134,212,108,32.9,,,
8/28/2012,1207.1,0.6,-6.2,344,400,29,209,,32,544.6,207,82
8/27/2012,1207.5,0.9,-6.1,395,400,253,216,73,33.7,544.6,207,82
8/26/2012,1207.7,0.9,-6.1,395,400,76,215,73,34,,,
8/25/2012,1208.1,1.1,-6,400,400,77,222,,33.5,,,
8/24/2012,1208.4,1.2,-5.9,403,400,77,226,80,35.3,545,177,82
8/23/2012,1208.8,1.4,-5.6,403,400,75,231,85,32.7,,,
8/22/2012,1209.2,1.7,-5.3,402,400,253,243,90,31,545.2,177,82
8/21/2012,1209.3,1.6,-5.4,388,400,55,242,101,32.5,545.3,177,82
8/20/2012,1209.7,1.8,-5.2,379,400,229,248,114,30.6,545.4,177,82
8/19/2012,1209.9,1.8,-5.2,376,400,224,241,131,31,,,
8/18/2012,1210.1,1.9,-5.2,382,400,230,241,,32.5,,,
8/17/2012,1210.3,1.9,-5.2,372,400,406,242,185,33.7,545.7,177,82
8/16/2012,1210.3,1.7,-5.4,396,400,430,237,259,30.6,545.7,180,82
8/15/2012,1210.3,1.5,-5.6,400,400,434,231,280,33.9,545.8,183,82
8/14/2012,1210.3,1.4,-5.7,402,400,249,225,203,36.4,545.8,177,82
8/13/2012,1210.4,1.3,-5.7,397,400,241,225,256,31.4,545.9,177,82
8/12/2012,1210.6,1.3,-5.7,395,400,429,218,309,31,,,
8/11/2012,1210.6,1.1,-5.7,402,400,247,212,,33.8,,,
8/10/2012,1210.8,1.2,-5.6,406,400,440,208,167,37.2,546,180,82
8/9/2012,1210.8,1,-5.7,400,400,55,197,119,31.9,546,177,82
8/8/2012,1211.2,1.2,-5.5,404,400,245,198,168,32.2,546.1,177,82
8/7/2012,1211.4,1.2,-5.4,439,400,282,193,193,30.9,546.2,177,82
8/6/2012,1211.5,1.1,-5.5,359,400,200,184,210,34.7,546.3,177,82
8/5/2012,1211.7,1.2,-5.4,394,400,235,178,96,32.5,,,
8/4/2012,1211.9,1.2,-5.3,396,400,42,167,,34.6,,,
8/3/2012,1212.3,1.4,-5.1,397,400,39,170,119,35.2,546.6,177,82
8/2/2012,1212.6,1.5,-4.9,399,400,38,174,128,30.9,546.7,170,82
8/1/2012,1213,1.8,-4.7,400,400,218,178,139,31.2,546.7,167,82
7/31/2012,1213.2,1.8,-4.5,401,400,441,175,129,32.4,546.8,165,82
7/30/2012,1213.4,1.8,-4.5,402,400,35,173,118,31.3,546.8,175,82
7/29/2012,1213.7,1.9,-4.3,403,400,236,167,155,31.4,,,
7/28/2012,1213.9,2,-4.2,404,400,236,171,,33.8,,,
7/27/2012,1214.1,2,-4.2,435,400,265,168,192,35.8,547,204,82
7/26/2012,1214.3,2,-4.1,374,400,204,165,140,31.9,547.1,201,82
7/25/2012,1214.5,2,-4.1,402,400,231,172,168,32.7,547.1,201,82
7/24/2012,1214.6,2,-4,402,400,436,177,238,35.4,547.2,210,82
7/23/2012,1214.6,1.8,-4.2,403,400,231,176,98,36.4,547.1,201,82
7/22/2012,1214.8,1.8,-4.2,401,400,228,173,103,35.2,,,
7/21/2012,1215,1.8,-4.1,401,400,19,178,,35.9,,,
7/20/2012,1215.4,2,-3.8,399,400,224,191,125,37.3,547.5,204,82
7/19/2012,1215.6,2.1,-3.8,433,450,257,189,179,36.2,547.6,204,82
7/18/2012,1215.8,2,-3.8,433,450,256,194,198,36.4,547.6,204,82
7/17/2012,1215.9,2,-3.9,432,450,250,199,141,35.3,547.8,204,82
7/16/2012,1216.1,2,-3.8,431,450,253,203,171,35.8,547.9,204,82
7/15/2012,1216.3,2.1,-3.7,431,450,252,217,96,38.8,,,
7/14/2012,1216.5,2.1,-3.6,433,450,39,227,,40.7,,,
7/13/2012,1216.8,2.2,-3.4,431,450,250,253,66,38.6,548.2,204,82
7/12/2012,1217,2.2,-3.2,522,520,124,286,74,37.3,548.2,204,82
7/11/2012,1217.4,2.5,-2.9,513,520,108,303,93,36.4,548.6,204,82
7/10/2012,1217.8,2.7,-2.7,499,520,94,313,95,38.1,,,
7/9/2012,1218.1,2.8,-2.5,489,520,81,333,97,33.5,549.6,204,82
7/8/2012,1218.5,3,-2.3,425,520,14,347,95,35.7,,,
7/7/2012,1218.9,3.3,-2.1,426,520,12,374,,37.2,,,
7/6/2012,1219.2,3.4,-1.9,548,520,-97,396,88,35.6,,,
7/5/2012,1219.8,3.8,-1.4,574,580,152,435,94,35.7,,,
7/4/2012,1220.2,4,-1.2,576,580,150,466,94,33.7,,,
7/3/2012,1220.5,4.1,-0.9,578,580,149,496,97,34.4,,,
7/2/2012,1220.9,4.4,-0.7,566,580,135,535,106,36,,,
7/1/2012,1221.2,4.6,-0.4,582,580,382,559,114,33.3,,,
6/30/2012,1221.4,4.5,-0.5,530,580,-142,573,,33.8,,,
6/29/2012,1222,4.9,0,568,580,366,616,140,36.9,549.6,210,70
6/28/2012,1222.2,5,0,588,600,146,672,135,34.2,549.7,219,70
6/27/2012,1222.5,5.1,0.3,607,600,162,683,151,30.2,549.7,237,70
6/26/2012,1222.9,5.3,0.6,614,600,408,693,171,31.6,549.8,237,70
6/25/2012,1223.1,5.3,0.7,595,600,389,704,,33.6,549.9,188,70
6/24/2012,1223.3,5.4,0.8,596,600,388,707,210,34.3,,,
6/23/2012,1223.4,5.3,0.7,599,600,147,719,,34.9,,,
6/22/2012,1223.8,5.5,1.1,604,600,394,743,,42.4,549.9,185,70
6/21/2012,1224,5.5,1.3,617,600,407,775,210,34.6,550,185,70
6/20/2012,1224.2,5.6,1.3,620,600,161,781,233,33.1,550,183,0
6/19/2012,1224.5,5.7,1.5,619,600,406,795,243,35.2,550,172,0
6/18/2012,1224.7,5.7,1.5,604,600,390,804,262,32.5,550.1,180,0
6/17/2012,1224.9,5.7,1.6,606,600,391,819,311,33.1,,,
6/16/2012,1225.1,5.7,1.8,636,600,671,845,,34,,,
